Cs,FA,MA,I,Br,structure,bandgap,glass,ETL,ETL-2,Ethickness,HTL,Hthickness,meta,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolution,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.0,0.3,0.7,3.0,0.0,0,1.57,15.131265603223945,14.580685119632928,14.734614611936987,24.2,15.02940413943355,65.2,15.271361592621036,15.043190661450348,14.540728643216081,11.813466461809325,14.00101851851855,100.0,10.0,21.47,1.02,0.75,16.42
0.05,0.7885,0.1615,2.7,0.3,0,1.695760000000001,15.131265603223945,11.770393394666886,14.933470884212586,25.0,15.02940413943355,10.0,12.108966965883685,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,10.0,21.9,0.878,0.68,13.0
0.0,0.5,0.5,1.5,1.5,1,1.85,13.748588709770196,13.488257532983164,13.383332009508031,21.2,14.50981884057955,94.0034,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,30.0,15.5,1.09,0.7,11.9
0.0,0.85,0.15,2.4,0.6,1,1.62,15.131265603223945,15.159048660965988,14.720934210311336,23.2,14.50981884057955,104.2,14.127791666767372,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,100.0,10.0,20.18,1.05,0.54,9.79
0.05,0.87,0.08,2.76,0.24,0,1.695760000000001,15.131265603223945,15.922031015204524,15.67940413943355,24.2,15.76762475068065,52.0034,15.271361592621036,13.387363546219715,14.540728643216081,14.99397098367796,14.97166577177229,100.0,30.0,21.93,1.02,0.802,18.2
0.0,0.17,0.83,3.0,0.0,1,1.59,13.748588709770196,13.488257532983164,13.383332009508031,22.2,14.50981884057955,94.0034,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,30.0,18.8,1.05,0.6,11.8
0.05,0.7885,0.1615,2.7,0.3,0,1.691170000000001,15.131265603223945,11.770393394666886,14.933470884212586,25.0,15.02940413943355,25.0,12.108966965883685,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,10.0,22.2,1.023,0.82,17.7
0.07,0.9,0.03,2.76,0.24,1,1.695760000000001,13.748588709770196,13.488257532983164,13.383332009508031,28.0,15.247025503190642,172.0,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,15.335969499988686,150.0,30.0,24.5,1.12,0.75,21.0
0.05,0.7885,0.1615,2.49,0.51,1,1.844268968253968,15.131265603223945,15.569879212259472,14.720934210311336,30.0,14.50981884057955,165.0,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,120.0,2.0,21.2,1.12,0.6478,15.37
0.0,0.33,0.67,0.0,3.0,1,2.29,13.748588709770196,13.488257532983164,13.383332009508031,21.2,14.50981884057955,94.0034,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,30.0,6.4,1.35,0.72,6.4
